2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:12 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:13 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:14 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:15 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:15 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:15 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
2026-04-17 19:59:15 - [INFO] - JARVIS_Logger - Pulling model: pulling 633fc5be925f
